# form	assertionUuid	failureType	violations	sha256(sorted concept ids)
# overall a91c088e1bacadd515a2c00a09db3d4613a37fb2f492c431718431240d647135
inferred	47e35159-6db8-41f2-a4cd-4fa79ea0e03b	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4816c1c3-3299-48ce-998b-f70a1d03bbdf	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4816c1c3-3299-48ce-998b-f70a1d03bbdf	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	48ad7e95-0e56-4c97-a06f-e8f94773a708	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	49bafaf8-d60b-46b5-a9ac-bb9a2dc01522	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	49bafaf8-d60b-46b5-a9ac-bb9a2dc01522	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4bcf42c3-1853-4693-b80f-b8c0e51537f7	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4c2f6db5-1d31-8c60-017d-17a96c2e4d08	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4c2f6db5-1d31-8c60-017d-17a96c2e4d08	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4cafa321-0ab0-4b68-8159-39a50c6c26e5	WARNING	6	5c3eaf87d8f78c514d0be7e01a17c25b0b173d3a6f6f7064de36c20269a3ae14
inferred	4cdeb624-40b2-4c3e-9bf6-69ce2d529aa3	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4cdeb624-40b2-4c3e-9bf6-69ce2d529aa3	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4d1fcca3-cb9b-4cc3-92a5-6e99a5b0110e	WARNING	7	c31a3cb44dc5ec8fb89ed3f65fa9266c9019dc2088f132b6f7233a9db6ebf761
inferred	4d606e02-ffec-439c-a6a3-ff6e42aa2a79	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4dc4c6f9-4d4f-4cbe-926f-b5d8e0906f2c	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4f3e5e29-1296-465b-9d6b-f0060c681907	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4f4e0b76-ab2e-4359-92f8-e67cdebc959a	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4f4e0b76-ab2e-4359-92f8-e67cdebc959a	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	51018539-2a40-44a1-b546-26c03baa9e4e	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	51018539-2a40-44a1-b546-26c03baa9e4e	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	51479006-1cbf-475a-b759-177bde3a65d8	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	51891776-2dc8-4a4b-ba5c-d1e5a279abb5	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	52d8ebc7-6c09-41b5-be7f-2373d1686be3	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	53da5d64-c105-1f1b-34e7-7cba7ffff457	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	53da5d64-c105-1f1b-34e7-7cba7ffff457	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5622fcce-f014-4570-b25f-f2a3d74be9f2	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5622fcce-f014-4570-b25f-f2a3d74be9f2	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	571f5cbb-c150-4a6f-add5-510884835720	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	58388c47-7807-4ba2-8be8-dc92cf930679	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	58388c47-7807-4ba2-8be8-dc92cf930679	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	583d09e9-d206-459c-8179-816d7ca19237	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	583d09e9-d206-459c-8179-816d7ca19237	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5980c5af-f7ea-405b-837b-217a185c648a	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	59ab2f6a-0075-4438-83c8-065f0f8924f2	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5a740c82-372c-41b5-af3f-224babf80444	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5a740c82-372c-41b5-af3f-224babf80444	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5bca9d39-e227-4dd4-b71d-482ad6703dee	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5c0fcb70-c87f-4058-9ee5-02d3756faace	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5c0fcb70-c87f-4058-9ee5-02d3756faace	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5c1e3361-3410-460e-87e3-3c8b76e00c39	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5d26beaf-f88b-4b6b-975f-155f4e044b41	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5d26beaf-f88b-4b6b-975f-155f4e044b41	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5d65c8b2-f5e3-4445-8be3-2a0484962c2e	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5db62b65-c29f-4e28-8061-b31683d581e4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5e44f435-98f2-484b-bc0a-af7bc0b0c29d	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	5e44f435-98f2-484b-bc0a-af7bc0b0c29d	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	6019965b-ddb9-4a4e-9cfc-c8fecca39de8	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	608ab6f5-6830-4294-926a-5c3a20b62060	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	61826c65-bbcb-4a47-b0ed-29bb6d608b32	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	6245dda6-fc40-4a0e-bbad-f05fcd9aff36	WARNING	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	6252da0e-fa44-4e9e-8497-6bea38379e07	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	6252da0e-fa44-4e9e-8497-6bea38379e07	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	62b647c7-4d06-48dd-be0d-62368875e04f	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	6355d014-0cd9-43f9-94c5-1724e81a1f04	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	6355d014-0cd9-43f9-94c5-1724e81a1f04	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	64031766-438d-4ad1-ba4c-29c5f22d9108	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	640d186b-4420-49e6-a2ae-0aeaffed85f9	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	64c8d4e7-4d8e-4f94-a7f0-ee8f2b162fbf	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	66c6a554-573e-4035-84bb-f9e9a1a6f7e4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
